x,y,z,content_id,_x,_y,_z,x_n,y_n,z_n
5626200.0,2315840.0,-425.0,8,5,5,5,180.0,418.0,113.0
5626200.0,2315840.0,-430.0,8,5,5,5,180.0,418.0,112.0
5626200.0,2315840.0,-430.0,4,5,5,5,180.0,418.0,112.0
5626200.0,2315840.0,-435.0,4,5,5,5,180.0,418.0,111.0
5626200.0,2315840.0,-440.0,4,5,5,5,180.0,418.0,110.0
5626200.0,2315840.0,-445.0,4,5,5,5,180.0,418.0,109.0
5626200.0,2315840.0,-445.0,5,5,5,5,180.0,418.0,109.0
5626200.0,2315840.0,-445.0,2,5,5,5,180.0,418.0,109.0
5626200.0,2315840.0,-450.0,2,5,5,5,180.0,418.0,108.0
5626200.0,2315840.0,-455.0,2,5,5,5,180.0,418.0,107.0
5626200.0,2315840.0,-460.0,2,5,5,5,180.0,418.0,106.0
5626200.0,2315840.0,-465.0,2,5,5,5,180.0,418.0,105.0
5626200.0,2315840.0,-470.0,2,5,5,5,180.0,418.0,104.0
5626200.0,2315840.0,-475.0,2,5,5,5,180.0,418.0,103.0
5626200.0,2315840.0,-480.0,2,5,5,5,180.0,418.0,102.0
5626200.0,2315840.0,-485.0,2,5,5,5,180.0,418.0,101.0
5626200.0,2315840.0,-490.0,2,5,5,5,180.0,418.0,100.0
5626200.0,2315840.0,-495.0,2,5,5,5,180.0,418.0,99.0
5626200.0,2315840.0,-500.0,2,5,5,5,180.0,418.0,98.0
5626200.0,2315840.0,-505.0,2,5,5,5,180.0,418.0,97.0
5626200.0,2315840.0,-510.0,2,5,5,5,180.0,418.0,96.0
5626200.0,2315840.0,-515.0,2,5,5,5,180.0,418.0,95.0
5626200.0,2315840.0,-515.0,7,5,5,5,180.0,418.0,95.0
5626200.0,2315840.0,-520.0,2,5,5,5,180.0,418.0,94.0
5626200.0,2315840.0,-525.0,2,5,5,5,180.0,418.0,93.0
5626200.0,2315840.0,-530.0,2,5,5,5,180.0,418.0,92.0
5626200.0,2315840.0,-535.0,2,5,5,5,180.0,418.0,91.0
5626205.0,2315700.0,-415.0,2,5,5,5,181.0,390.0,115.0
5626205.0,2315700.0,-420.0,2,5,5,5,181.0,390.0,114.0
5626205.0,2315700.0,-425.0,2,5,5,5,181.0,390.0,113.0
5626205.0,2315700.0,-430.0,2,5,5,5,181.0,390.0,112.0
5626205.0,2315700.0,-435.0,2,5,5,5,181.0,390.0,111.0
