well_id,n_blocks,n_errors,rel_error_pct,acc,f1_micro,f1_macro,repeat
885р_2,98,30,30.612244897959183,0.6938775510204082,0.6938775777816772,0.10240963846445084,16
171_3,208,173,83.17307692307692,0.16826923076923078,0.16826923191547394,0.06189068406820297,16
829р_1,33,15,45.45454545454545,0.5454545454545454,0.5454545617103577,0.0882352963089943,16
876р_8,1,0,0.0,1.0,1.0,0.25,16
762р_1,92,68,73.91304347826087,0.2608695652173913,0.260869562625885,0.04161689057946205,17
10д_2,239,83,34.72803347280335,0.6527196652719666,0.6527196764945984,0.11283905804157257,17
859р_2,49,38,77.55102040816327,0.22448979591836735,0.22448979318141937,0.06285714358091354,17
1002р_4,1,0,0.0,1.0,1.0,0.1111111119389534,17
914р_7,1,1,100.0,0.0,0.0,0.0,17
214_3,346,126,36.41618497109827,0.6358381502890174,0.6358381509780884,0.26930755376815796,18
692р_1,8,7,87.5,0.125,0.125,0.1111111119389534,18
177_3,49,35,71.42857142857143,0.2857142857142857,0.2857142984867096,0.222222238779068,18
515р_1,6,3,50.0,0.5,0.5,0.2857142984867096,18
846р_4,3,0,0.0,1.0,1.0,0.5,18
1008р_1,38,3,7.894736842105263,0.9210526315789473,0.9210526347160339,0.19178082048892975,19
982р_2,33,13,39.39393939393939,0.6060606060606061,0.6060606241226196,0.14918415248394012,19
969р_6,38,25,65.78947368421052,0.34210526315789475,0.34210526943206787,0.07282913476228714,19
921р_4,7,7,100.0,0.0,0.0,0.0,19
876р_8,1,0,0.0,1.0,1.0,0.5,19
